seed,n_policy,mean_reward,std_reward,list_rewards
1,1,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,2,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,3,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,4,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,5,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,6,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,7,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,8,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,9,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
1,10,-200.0,0.0,"[array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32), array([-200.], dtype=float32)]"
